label,content
Business,Union Budget 2025: Electric vehicles to become affordable
Business,"Budget 2025-26: Allocation to renewable energy jumps 53%, here’s what analysts say about Suzlon, Waaree, Adani, others"
Business,Battery prices should come down by 10% after Budget 2025: Attero Recycling CEO
Business,"Budget 2025: EV Initiatives, Tax Reforms, Auto Sector Growth And Impact on Indian Automotive Industry Explained"
Business,"Exclusive: Volkswagen sues India to quash 'enormous' $1.4 billion tax demand, legal filing shows"
Business,"Volkswagen India faced customs clearance delays over alleged tax evasion case, sources say"
Business,Volkswagen sues Modi government over 'impossibly enormous' $1.4B tax demand
Business,Volkswagen's $1.4 Billion Tax Battle: A Threat to Foreign Investment in India?
Business,"FMCG, Auto, Consumer Durables, Insurance and other sectors set to benefit from Union Budget 2025"
Business,Why markets didn't rise despite tax cuts? Wisdom Hatch founder says budget doesn't...
Business,FMCG Companies Hope for Consumption Growth After Budget
Business,"Week Ahead: RBI Policy, Q3 earnings, FII activity among key market triggers for Nifty"
Business,"Union Finance Minister Nirmala Sitharaman interview to PTI on February 2, 2025"
Business,Indian rupee not depreciating against any currency other than USD: Nirmala Sitharaman
Business,"Macro factors robust, blame on stronger $ for weaker"
Business,Weak currency does not mean weak economy
Business,DeepSeek decoded: 5 myths and realities about the Chinese AI startup’s rise
Business,"Weekly Tech Recap: DeepSeek shakes up AI world, OpenAI rolls out o3-Mini, WhatsApp thwarts Paragon attack and more"
Business,DeepSeek-R1 models now available on AWS
Business,Liang Wenfeng: Rise of a Black Swan
Business,"Kia Sales Jan 2025 – 5,546 Syros SUV Units Dispatched"
Business,Kia Syros And Skoda Kylaq Are For Very Different Buyers
Business,Kia Launched This To Rival ‘2 Best Selling SUVs’!
Business,Kia Syros vs Sonet: Prices Compared
Business,"Companies News Today Live Updates on February 2, 2025: 26 Nifty 50 companies have reported 4.4% YoY growth in Q3FY25 against 4.2% in Q2 | Company Business News"
Business,26 Nifty 50 companies have reported 4.4% YoY growth in Q3FY25 against 4.2% in Q2
Business,26 Nifty 50 companies have reported 4.4 pc YoY growth in Q3 FY25 as against 4.2 pc in Q2
Business,Nifty 50 earnings on the skids. Why investors should worry
Business,"Starbucks, PepsiCo, McDonalds and Target net worth combined: The amount that Nvidia lost in Monday Mahyem"
Business,More pain coming for Nvidia following this week's DeepSeek rout? Here's what analysts are saying
Business,"AI Has Rocked the Stock Market, But What Will It Do for the Economy?"
Business,US stocks are back to where they were before DeepSeek
Business,"Gold Price Today: Gold rate jumps to all-time high at Rs 84,900 per 10g; check city-wise prices"
Business,"Gold Rate And Silver Price Today on February 2, 2025: Check latest Rates in India"
Business,"Gold futures record all-time high of Rs 83,360 per 10gm"
Business,Gold prices hit record high as Budget 2025 sparks commodity market moves
Business,"Budget 2025 Stock Market Today: Nifty, Sensex End Budget Day On Muted Note; L&T, Infosys Top Draggers"
Business,"Sensex slides 2,900 pts since last Budget in July"
Business,Budget 2025: These announcements by FM Sitharaman could revive Nifty bulls; here are top stocks to track today
Business,Budget 2025 Stock market update: Markets open higher ahead of Budget presentation
Business,"Budget 2025: BHEL, Bharat Dynamics, other defence stocks fall up to 9% on small capex rise"
Business,Government Shifts From Capex To Consumption? What Nirmala Sitharaman Said
Business,Union Budget 2025 | Government expenditure estimated to cross Rs 50 lakh crore for the first time
Business,"Budget 2025: PSU stocks tumble up to 9% on Budget Day, marking the sharpest decline since 2020"
Business,"Budget 2025: HPCL, BPCL, IOC shares fall up to 5% on lower LPG subsidy"
Business,India to provide $647 million to support strategic reserve oil purchases in 2025-26
Business,"Government proposed to spend Rs 5,600 crore to fill part-empty strategic petroleum reserves"
Business,"Budget 2025: HPCL, IOC, BPCL shares fall over 5%; here’s why"
Business,"India axes import tax on some smartphone parts in boost to Apple, Xiaomi"
Business,Budget aims to deepen electronic goods value chain; capex target disappoints industry
Business,"Centre Raises Budget For Electronics, Semiconductor, AI By 84% To Rs 18,000 Crore"
Business,First made-in-India chip to rollout in 2025: Union Minister Ashwini Vaishnaw
Business,"ITC, Zomato, Bata India: 5 stocks to buy for upto 22% gain post Budget 2025"
Business,Anti-tobacco activists disappointed over failure to increase tax on tobacco products
Business,"Top Picks: ITC, Trent, NTPC among top budget picks from B&K Securities"
Business,Budget 2025: Will ITC shares Budget day winning streak survive tax hike uncertainty?
Business,"Honda City Apex Edition Launch Price Rs 13.3 Lakh - Manual, CVT Variants"
Business,New Honda Car Launched In India!
Business,Honda City Apex Limited Edition launched in India: Check price and what all is new
Business,"Honda City Apex Edition Launched, Prices Start From Rs 13.30 Lakh"
Business,India’s real and nominal GDP are expected to grow at 6.4% and 9.7% respectively in FY25 as per 1st Advanced Estimates
Business,India’s Nominal GDP growth expected at 9.8-10.3 pc in FY26: Bank of Baroda Report
Business,India s real and nominal GDP are expected to grow at 6.4% and 9.7% respectively in FY25 as per 1st Advanced Estimates
Business,"Budget FY26: Nominal GDP Growth of 10.1% Feasible, Real GDP to Settle at 6.5%, Say Experts"
Business,Budget 2025: Here’s what centre announced on crypto regulations and tax
Business,Union Budget: Trading in crypto? There is a bigly tax to pay
Business,"Crypto income: Budget 2025 tightens crypto transaction monitoring, other tax norms"
Business,"Budget 2025 impact on cryptocurrency taxation: Has anything changed for Bitcoin, other crypto investors?"
Business,Jewellery to get cheaper as customs duty reduced on jewellery and parts: Budget 2025
Business,"In Surat, diamond industry stakeholders welcome Export Promotion Mission, rue silence on relief package"
Business,Gold price on Budget Day: MCX Gold slips on profit booking near record high; focus shifts to FM’s speech
Business,Union Budget 2025: Will import duty increase from May 1?
Business,OpenAI Fights Back Against DeepSeek AI With Early o3-Mini Launch—Here's How It Compares
Business,OpenAI o3-mini
Business,"DeepSeek effect? OpenAI rolls out o3-Mini, it’s first reasoning model for free users"
Business,"OpenAI releases “newest, most cost-efficient” o3-mini AI model"
Business,IRB Infrastructure Q3 Results | Revenue grows 3%; dividend declared
Business,"IRB Infra Consolidated December 2024 Net Sales at Rs 2,025.44 crore, up 2.89% Y-o-Y"
Business,Stock to Buy Before Budget: Anil Singhvi suggests buying this infra stock for up to 75% gains; check out target
Business,IRB Infrastructure Q3 Results: Net Profit Rises By 18% To Rs 222 Crore
Business,"ONGC dividend 2025: 100% cash reward in Q3 results FY 2025 – Record date, quarterly earnings"
Business,"ONGC Q3 Results: Cons PAT falls 19% YoY to Rs 8,622 crore; Rs 5 per share dividend announced"
Business,ONGC profit falls 17% on lower oil prices
